id,resort,country,continent,month,month_sin,month_cos,is_winter_month,is_shoulder_month,snow,snow_missing,snow_imputed,snow_lag_1,snow_lag_2,snow_3m_mean,snow_3m_std,snow_6m_mean,highest_point,lowest_point,altitude_range,total_slopes,share_beginner,share_intermediate,share_difficult,total_lifts,lift_capacity,share_surface_lifts,share_chair_lifts,share_gondola_lifts,price,log_price,log_lift_capacity,locality_score,demand_score,attendance
238,Smugglers' Notch,United States,North America,2022-03-01,0.032773789934219456,0.9994627950520958,1,0,,1,70.08,86.22,79.92,78.74,8.134445279181609,78.74,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,59.2967710627328,medium
238,Smugglers' Notch,United States,North America,2022-04-01,0.04905831062447447,0.998795916170402,0,1,,1,62.99,70.08,86.22,73.09666666666668,11.905185144857395,74.8025,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,48.00954272939947,medium
238,Smugglers' Notch,United States,North America,2022-05-01,-0.11633697130920091,0.993209801153111,0,0,,1,19.095,62.99,70.08,50.721666666666664,27.617957171618126,63.661,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,26.502570229399467,medium
238,Smugglers' Notch,United States,North America,2022-06-01,-0.10013455542064037,0.9949739045878091,0,0,,1,16.535,19.095,62.99,32.873333333333335,26.113188398457453,55.806666666666665,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,21.016342729399465,medium
238,Smugglers' Notch,United States,North America,2022-07-01,-0.01598099091434407,0.9998722958105178,0,0,,1,1.97,16.535,19.095,12.533333333333333,9.237229472809098,42.815,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,10.337546896066135,low
238,Smugglers' Notch,United States,North America,2022-08-01,0.0003166790417742279,0.999999949857191,0,0,,1,0.79,1.97,16.535,6.4316666666666675,8.769612781265378,28.576666666666668,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,7.6020760627328015,low
238,Smugglers' Notch,United States,North America,2022-09-01,0.016614264878330495,0.9998619735756294,0,0,,1,3.935,0.79,1.97,2.231666666666667,1.5887442630370432,17.5525,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,7.054342729399469,low
238,Smugglers' Notch,United States,North America,2022-10-01,-0.14851256410687452,0.9889105208775977,0,0,,1,3.3449999999999998,3.935,0.79,2.69,1.6716832834002324,7.611666666666667,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,6.301534396066136,low
238,Smugglers' Notch,United States,North America,2022-11-01,-0.1323759428851275,0.9911995811869946,0,1,,1,71.65,3.3449999999999998,3.935,26.310000000000002,39.266699950466936,16.370833333333334,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,0.65,36.66346772939947,medium
238,Smugglers' Notch,United States,North America,2022-12-01,-0.04842570534918712,0.9988267873167167,1,0,14.57,0,14.57,71.65,3.3449999999999998,29.855,36.62808587682409,16.043333333333337,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,1.0,29.229397468306868,medium
239,Rosa Khutor,Russia,Europe,2022-01-01,-0.07880315299594536,0.9968901960987968,1,0,100.0,0,100.0,,,100.0,0.0,100.0,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,122.05585378668806,high
239,Rosa Khutor,Russia,Europe,2022-02-01,-0.06254574045753,0.9980420984861407,1,0,17.72,0,17.72,100.0,,58.86,58.180745956029135,58.86,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,48.72380378668808,medium
239,Rosa Khutor,Russia,Europe,2022-03-01,0.032773789934219456,0.9994627950520958,1,0,68.11,0,68.11,17.72,100.0,61.94333333333333,41.485183298779496,61.94333333333333,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,82.19110378668807,high
239,Rosa Khutor,Russia,Europe,2022-04-01,0.04905831062447447,0.998795916170402,0,1,0.39,0,0.39,68.11,17.72,28.74,35.179253829494456,46.555,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,21.98485378668807,medium
239,Rosa Khutor,Russia,Europe,2022-05-01,-0.11633697130920091,0.993209801153111,0,0,0.39,0,0.39,0.39,68.11,22.963333333333335,39.09816022952146,37.321999999999996,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,19.03972045335474,medium
239,Rosa Khutor,Russia,Europe,2022-06-01,-0.10013455542064037,0.9949739045878091,0,0,28.35,0,28.35,0.39,0.39,9.71,16.142713526541936,35.82666666666667,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,29.629520453354743,medium
239,Rosa Khutor,Russia,Europe,2022-07-01,-0.01598099091434407,0.9998722958105178,0,0,14.17,0,14.17,28.35,0.39,14.303333333333335,13.9804768635885,21.521666666666665,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,22.00768712002141,medium
239,Rosa Khutor,Russia,Europe,2022-08-01,0.0003166790417742279,0.999999949857191,0,0,4.72,0,4.72,14.17,28.35,15.746666666666668,11.893638355580403,19.355,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,17.09868712002141,medium
239,Rosa Khutor,Russia,Europe,2022-09-01,0.016614264878330495,0.9998619735756294,0,0,4.72,0,4.72,4.72,14.17,7.87,5.4559600438419595,8.790000000000001,2320.0,940.0,1380.0,77.0,0.38961038961038963,0.33766233766233766,0.2727272727272727,27.0,49228.0,0.2222222222222222,0.4074074074074074,0.37037037037037035,22.0,3.1354942159291497,10.80423815972855,1.0,13.285353786688075,low
